Receipt_ID,Date,Vendor,Total_Amount,Category,Employee_ID,Project_Code,Payment_Method,Status
RCP001,01/03/2024,Amazon.com,89.99,Office Supplies,EMP001,PROJ123,Credit Card,APPROVED
RCP002,02/03/2024,Starbucks,5.50,Meals & Entertainment,EMP001,PROJ123,Credit Card,APPROVED
RCP003,03/03/2024,Shell,45.75,Travel & Transport,EMP001,PROJ124,Credit Card,APPROVED
RCP004,04/03/2024,Whole Foods,127.83,Meals & Entertainment,EMP002,PROJ125,Credit Card,APPROVED
RCP005,05/03/2024,Netflix,15.99,Software & Services,EMP001,PROJ123,Credit Card,PENDING
RCP006,06/03/2024,ATM Fee,100.00,Cash Advance,EMP001,PROJ123,Credit Card,APPROVED
RCP007,07/03/2024,Target,67.45,Office Supplies,EMP003,PROJ126,Credit Card,APPROVED
RCP008,08/03/2024,Uber,22.30,Travel & Transport,EMP002,PROJ125,Credit Card,APPROVED
RCP009,09/03/2024,Apple Store,299.99,Technology,EMP004,PROJ127,Credit Card,APPROVED
RCP010,10/03/2024,Costco,156.78,Office Supplies,EMP001,PROJ123,Credit Card,APPROVED
RCP011,11/03/2024,McDonald's,8.75,Meals & Entertainment,EMP002,PROJ125,Credit Card,REJECTED
RCP012,12/03/2024,Home Depot,78.90,Office Maintenance,EMP003,PROJ126,Credit Card,APPROVED
RCP013,13/03/2024,Amazon Refund,89.99,Office Supplies,EMP001,PROJ123,Credit Card,APPROVED
RCP014,14/03/2024,CVS,24.67,Healthcare,EMP004,PROJ127,Credit Card,APPROVED
RCP015,15/03/2024,Spotify,9.99,Software & Services,EMP002,PROJ125,Credit Card,PENDING
RCP016,16/03/2024,Unmatched Vendor,234.56,Miscellaneous,EMP005,PROJ128,Credit Card,APPROVED
RCP017,17/03/2024,Another Unmatched,178.90,Office Supplies,EMP006,PROJ129,Credit Card,APPROVED
